YEAR,MONTH_NUM,FLT_DATE,APT_ICAO,APT_NAME,IFR_Departures,ATC_Pre_Delay_Min
2018,6,2018-06-17,LIPE,Bologna,108,41.0
2018,6,2018-06-18,LIPE,Bologna,114,36.0
2018,6,2018-06-19,LIPE,Bologna,113,9.0
2018,6,2018-06-20,LIPE,Bologna,113,23.0
2018,6,2018-06-21,LIPE,Bologna,109,40.0
2018,6,2018-06-22,LIPE,Bologna,125,24.0
2018,6,2018-06-23,LIPE,Bologna,101,21.0
2018,6,2018-06-24,LIPE,Bologna,119,61.0
2018,6,2018-06-25,LIPE,Bologna,116,34.0
2018,6,2018-06-26,LIPE,Bologna,115,5.0
2018,6,2018-06-27,LIPE,Bologna,112,42.0
2018,6,2018-06-28,LIPE,Bologna,111,47.0
2018,6,2018-06-29,LIPE,Bologna,124,43.0
2018,6,2018-06-30,LIPE,Bologna,109,25.0
2018,7,2018-07-01,LIPE,Bologna,116,26.0
2018,7,2018-07-02,LIPE,Bologna,114,35.0
2018,7,2018-07-03,LIPE,Bologna,102,27.0
2018,7,2018-07-04,LIPE,Bologna,110,17.0
2018,7,2018-07-05,LIPE,Bologna,117,30.0
2018,7,2018-07-06,LIPE,Bologna,116,24.0
2018,7,2018-07-07,LIPE,Bologna,102,28.0
2018,7,2018-07-08,LIPE,Bologna,119,32.0
2018,7,2018-07-09,LIPE,Bologna,115,33.0
2018,7,2018-07-10,LIPE,Bologna,106,40.0
2018,7,2018-07-11,LIPE,Bologna,104,48.0
2018,7,2018-07-12,LIPE,Bologna,116,34.0
2018,7,2018-07-13,LIPE,Bologna,125,19.0
2018,7,2018-07-14,LIPE,Bologna,110,16.0
2018,7,2018-07-15,LIPE,Bologna,118,65.0
2018,7,2018-07-16,LIPE,Bologna,104,27.0
2018,7,2018-07-17,LIPE,Bologna,106,16.0
2018,7,2018-07-18,LIPE,Bologna,108,66.0
2018,7,2018-07-19,LIPE,Bologna,111,26.0
2018,7,2018-07-20,LIPE,Bologna,121,21.0
2018,7,2018-07-21,LIPE,Bologna,101,22.0
2018,7,2018-07-22,LIPE,Bologna,109,54.0
2018,7,2018-07-23,LIPE,Bologna,113,85.0
2018,7,2018-07-24,LIPE,Bologna,113,49.0
2018,7,2018-07-25,LIPE,Bologna,85,24.0
2018,7,2018-07-26,LIPE,Bologna,106,37.0
2018,7,2018-07-27,LIPE,Bologna,115,66.0
2018,7,2018-07-28,LIPE,Bologna,104,16.0
2018,7,2018-07-29,LIPE,Bologna,111,10.0
2018,7,2018-07-30,LIPE,Bologna,111,69.0
2018,7,2018-07-31,LIPE,Bologna,114,19.0
2018,8,2018-08-01,LIPE,Bologna,105,6.0
2018,8,2018-08-02,LIPE,Bologna,107,29.0
2018,8,2018-08-03,LIPE,Bologna,114,44.0
2018,8,2018-08-04,LIPE,Bologna,110,25.0
2018,8,2018-08-05,LIPE,Bologna,111,48.0
2018,8,2018-08-06,LIPE,Bologna,109,21.0
2018,8,2018-08-07,LIPE,Bologna,114,24.0
2018,8,2018-08-08,LIPE,Bologna,108,47.0
2018,8,2018-08-09,LIPE,Bologna,102,21.0
2018,8,2018-08-10,LIPE,Bologna,108,58.0
2018,8,2018-08-11,LIPE,Bologna,109,31.0
2018,8,2018-08-12,LIPE,Bologna,111,34.0
2018,8,2018-08-13,LIPE,Bologna,109,28.0
2018,8,2018-08-14,LIPE,Bologna,105,0.0
2018,8,2018-08-15,LIPE,Bologna,94,12.0
2018,8,2018-08-16,LIPE,Bologna,96,31.0
2018,8,2018-08-17,LIPE,Bologna,107,50.0
2018,8,2018-08-18,LIPE,Bologna,103,7.0
2018,8,2018-08-19,LIPE,Bologna,113,20.0
2018,8,2018-08-20,LIPE,Bologna,111,8.0
2018,8,2018-08-21,LIPE,Bologna,104,14.0
2018,8,2018-08-22,LIPE,Bologna,101,41.0
2018,8,2018-08-23,LIPE,Bologna,104,48.0
2018,8,2018-08-24,LIPE,Bologna,106,24.0
2018,8,2018-08-25,LIPE,Bologna,106,46.0
2018,8,2018-08-26,LIPE,Bologna,111,8.0
2018,8,2018-08-27,LIPE,Bologna,123,17.0
2018,8,2018-08-28,LIPE,Bologna,110,19.0
2018,8,2018-08-29,LIPE,Bologna,112,21.0
2018,8,2018-08-30,LIPE,Bologna,107,68.0
2018,8,2018-08-31,LIPE,Bologna,117,35.0
2018,9,2018-09-01,LIPE,Bologna,102,4.0
2018,9,2018-09-02,LIPE,Bologna,106,20.0
2018,9,2018-09-03,LIPE,Bologna,119,24.0
2018,9,2018-09-04,LIPE,Bologna,115,42.0
2018,9,2018-09-05,LIPE,Bologna,114,42.0
2018,9,2018-09-06,LIPE,Bologna,118,19.0
2018,9,2018-09-07,LIPE,Bologna,124,65.0
2018,9,2018-09-08,LIPE,Bologna,105,31.0
2018,9,2018-09-09,LIPE,Bologna,119,59.0
2018,9,2018-09-10,LIPE,Bologna,116,32.0
2018,9,2018-09-11,LIPE,Bologna,114,36.0
2018,9,2018-09-12,LIPE,Bologna,111,54.0
2018,9,2018-09-13,LIPE,Bologna,123,40.0
2018,9,2018-09-18,LIPE,Bologna,100,34.0
2018,9,2018-09-19,LIPE,Bologna,125,15.0
2018,9,2018-09-20,LIPE,Bologna,115,16.0
2018,9,2018-09-21,LIPE,Bologna,116,28.0
2018,9,2018-09-22,LIPE,Bologna,101,3.0
2018,9,2018-09-23,LIPE,Bologna,120,32.0
2018,9,2018-09-24,LIPE,Bologna,120,23.0
2018,9,2018-09-25,LIPE,Bologna,122,48.0
2018,9,2018-09-26,LIPE,Bologna,117,187.0
2018,9,2018-09-27,LIPE,Bologna,115,31.0
2018,9,2018-09-28,LIPE,Bologna,118,61.0
2018,9,2018-09-29,LIPE,Bologna,108,178.0
2018,9,2018-09-30,LIPE,Bologna,113,15.0
2018,10,2018-10-01,LIPE,Bologna,107,39.0
2018,10,2018-10-02,LIPE,Bologna,102,25.0
2018,10,2018-10-03,LIPE,Bologna,108,47.0
2018,10,2018-10-04,LIPE,Bologna,105,55.0
2018,10,2018-10-05,LIPE,Bologna,110,15.0
2018,10,2018-10-06,LIPE,Bologna,90,9.0
2018,10,2018-10-07,LIPE,Bologna,98,22.0
2018,10,2018-10-08,LIPE,Bologna,107,31.0
2018,10,2018-10-09,LIPE,Bologna,102,18.0
2018,10,2018-10-10,LIPE,Bologna,106,5.0
2018,10,2018-10-11,LIPE,Bologna,112,37.0
2018,10,2018-10-12,LIPE,Bologna,112,23.0
2018,10,2018-10-13,LIPE,Bologna,89,16.0
2018,10,2018-10-14,LIPE,Bologna,103,21.0
2018,10,2018-10-15,LIPE,Bologna,109,15.0
2018,10,2018-10-16,LIPE,Bologna,103,19.0
2018,10,2018-10-17,LIPE,Bologna,105,18.0
2018,10,2018-10-18,LIPE,Bologna,108,12.0
2018,10,2018-10-19,LIPE,Bologna,110,21.0
2018,10,2018-10-20,LIPE,Bologna,86,9.0
2018,10,2018-10-21,LIPE,Bologna,101,32.0
2018,10,2018-10-22,LIPE,Bologna,111,26.0
2018,10,2018-10-23,LIPE,Bologna,102,32.0
2018,10,2018-10-24,LIPE,Bologna,111,19.0
2018,10,2018-10-25,LIPE,Bologna,110,10.0
2018,10,2018-10-26,LIPE,Bologna,101,17.0
2018,10,2018-10-27,LIPE,Bologna,89,25.0
2018,10,2018-10-28,LIPE,Bologna,95,11.0
2018,10,2018-10-29,LIPE,Bologna,108,20.0
2018,10,2018-10-30,LIPE,Bologna,94,37.0
2018,10,2018-10-31,LIPE,Bologna,96,36.0
2018,11,2018-11-01,LIPE,Bologna,88,56.0
2018,11,2018-11-02,LIPE,Bologna,95,28.0
2018,11,2018-11-03,LIPE,Bologna,85,26.0
2018,11,2018-11-04,LIPE,Bologna,87,23.0
2018,11,2018-11-05,LIPE,Bologna,105,31.0
2018,11,2018-11-06,LIPE,Bologna,95,42.0
2018,11,2018-11-07,LIPE,Bologna,94,26.0
2018,11,2018-11-08,LIPE,Bologna,97,27.0
2018,11,2018-11-09,LIPE,Bologna,104,21.0
2018,11,2018-11-10,LIPE,Bologna,92,13.0
2018,11,2018-11-11,LIPE,Bologna,92,21.0
2018,11,2018-11-12,LIPE,Bologna,112,44.0
2018,11,2018-11-13,LIPE,Bologna,96,33.0
2018,11,2018-11-14,LIPE,Bologna,101,35.0
2018,11,2018-11-15,LIPE,Bologna,95,62.0
2018,11,2018-11-16,LIPE,Bologna,104,12.0
2018,11,2018-11-17,LIPE,Bologna,85,29.0
2018,11,2018-11-18,LIPE,Bologna,86,30.0
2018,11,2018-11-19,LIPE,Bologna,98,18.0
2018,11,2018-11-20,LIPE,Bologna,90,30.0
2018,11,2018-11-21,LIPE,Bologna,96,12.0
2018,11,2018-11-22,LIPE,Bologna,98,11.0
2018,11,2018-11-23,LIPE,Bologna,94,46.0
2018,11,2018-11-24,LIPE,Bologna,83,22.0
2018,11,2018-11-25,LIPE,Bologna,91,26.0
2018,11,2018-11-26,LIPE,Bologna,104,49.0
2018,11,2018-11-27,LIPE,Bologna,94,53.0
2018,11,2018-11-28,LIPE,Bologna,95,15.0
2018,11,2018-11-29,LIPE,Bologna,99,19.0
2018,11,2018-11-30,LIPE,Bologna,101,26.0
2018,12,2018-12-01,LIPE,Bologna,82,33.0
2018,12,2018-12-02,LIPE,Bologna,81,6.0
2018,12,2018-12-03,LIPE,Bologna,104,32.0
2018,12,2018-12-04,LIPE,Bologna,97,17.0
2018,12,2018-12-05,LIPE,Bologna,104,8.0
2018,12,2018-12-06,LIPE,Bologna,96,10.0
2018,12,2018-12-07,LIPE,Bologna,97,48.0
