YEAR,MONTH_NUM,FLT_DATE,APT_ICAO,APT_NAME,Departures_IFR,Arrivals_IFR,Total_IFR_Movements
2019,8,2019-08-15,LIPE,Bologna,101,102,203
2019,8,2019-08-16,LIPE,Bologna,105,108,213
2019,8,2019-08-17,LIPE,Bologna,113,110,223
2019,8,2019-08-18,LIPE,Bologna,111,115,226
2019,8,2019-08-19,LIPE,Bologna,114,109,223
2019,8,2019-08-20,LIPE,Bologna,103,105,208
2019,8,2019-08-21,LIPE,Bologna,112,109,221
2019,8,2019-08-22,LIPE,Bologna,102,104,206
2019,8,2019-08-23,LIPE,Bologna,109,109,218
2019,8,2019-08-24,LIPE,Bologna,107,105,212
2019,8,2019-08-25,LIPE,Bologna,119,125,244
2019,8,2019-08-26,LIPE,Bologna,121,114,235
2019,8,2019-08-27,LIPE,Bologna,107,108,215
2019,8,2019-08-28,LIPE,Bologna,119,119,238
2019,8,2019-08-29,LIPE,Bologna,113,112,225
2019,8,2019-08-30,LIPE,Bologna,113,116,229
2019,8,2019-08-31,LIPE,Bologna,110,111,221
2019,9,2019-09-01,LIPE,Bologna,120,124,244
2019,9,2019-09-02,LIPE,Bologna,127,123,250
2019,9,2019-09-03,LIPE,Bologna,121,122,243
2019,9,2019-09-04,LIPE,Bologna,131,132,263
2019,9,2019-09-05,LIPE,Bologna,126,129,255
2019,9,2019-09-06,LIPE,Bologna,123,122,245
2019,9,2019-09-07,LIPE,Bologna,124,116,240
2019,9,2019-09-08,LIPE,Bologna,131,133,264
2019,9,2019-09-09,LIPE,Bologna,123,123,246
2019,9,2019-09-10,LIPE,Bologna,118,119,237
2019,9,2019-09-11,LIPE,Bologna,117,119,236
2019,9,2019-09-12,LIPE,Bologna,123,121,244
2019,9,2019-09-13,LIPE,Bologna,123,130,253
2019,9,2019-09-14,LIPE,Bologna,115,110,225
2019,9,2019-09-15,LIPE,Bologna,122,127,249
2019,9,2019-09-16,LIPE,Bologna,121,116,237
2019,9,2019-09-17,LIPE,Bologna,117,117,234
2019,9,2019-09-18,LIPE,Bologna,116,119,235
2019,9,2019-09-19,LIPE,Bologna,116,116,232
2019,9,2019-09-20,LIPE,Bologna,123,124,247
2019,9,2019-09-21,LIPE,Bologna,113,105,218
2019,9,2019-09-22,LIPE,Bologna,121,129,250
2019,9,2019-09-23,LIPE,Bologna,132,125,257
2019,9,2019-09-24,LIPE,Bologna,117,120,237
2019,9,2019-09-25,LIPE,Bologna,126,125,251
